station,line,latitude,longitude,postcode,stadtteil
Osloer Straße,U8,52.55694,13.37361,13359,Gesundbrunnen
Osloer Straße,U9,52.55694,13.37361,13359,Gesundbrunnen
Ostkreuz,U1,52.50278,13.46917,,Friedrichshain
Ostkreuz,S7,52.50278,13.46917,,Friedrichshain
Otisstraße,U6,52.571111111,13.302777777,13405,Reinickendorf
Pankow,U2,52.5667,13.4111,13187,Pankow
Pankow,,52.5667,13.4111,13187,Pankow
Paracelsus-Bad,U8,52.574166666,13.349166666,13407,Reinickendorf
Paradestraße,U6,52.478055555,13.386111111,12101,Tempelhof
Paradestraße,,52.478055555,13.386111111,12101,Tempelhof
Paulsternstraße,U7,52.538055555,13.247777777,13629,Haselhorst
Potsdamer Platz,U55,52.5094,13.3758,10785,Tiergarten
Potsdamer Platz,U2,52.5094,13.3758,10785,Tiergarten
Rathaus Reinickendorf,U8,52.5882,13.3257,13437,Wittenau
Rathaus Steglitz,U9,52.4562,13.3216,12165,Steglitz
Rathaus Steglitz,,52.4562,13.3216,12165,Steglitz
Rehberge,U6,52.5567,13.3412,13349,Wedding
Reinickendorfer Straße,U6,52.539911111,13.370377777,13353,Wedding
Reinickendorfer Straße,,52.539911111,13.370377777,13353,Wedding
Rohrdamm,U7,52.537222222,13.2625,13629,Siemensstadt
Rosa-Luxemburg-Platz,U2,52.528333333,13.410277777,10119,Mitte
Rosa-Luxemburg-Platz,,52.528333333,13.410277777,10119,Mitte
Rosenthaler Platz,U8,52.53,13.401111111,10119,Mitte
Rudow,U7,52.415833333,13.496111111,12355,Rudow
Schillingstraße,U5,52.520277777,13.421666666,10178,Mitte
Schillingstraße,,52.520277777,13.421666666,10178,Mitte
Schlesisches Tor,U1,52.500833333,13.441666666,10997,Kreuzberg
Schlesisches Tor,,52.500833333,13.441666666,10997,Kreuzberg
Schloßstraße,U9,52.46083,13.32444,12163,Steglitz
Schönhauser Allee,U2,52.549329,13.413706,10437,Prenzlauer Berg
Schönhauser Allee,,52.549329,13.413706,10437,Prenzlauer Berg
Spandau,U7,52.5347,13.1958,13597,Spandau
Strausberger Platz,U5,52.518055555,13.430833333,10243,Friedrichshain
Südkreuz,U6,52.475,13.365,,Schöneberg
Tempelhof,U6,52.4708,13.3854,12099,Tempelhof
Ullsteinstraße,U6,52.453775,13.384302777,12099,Tempelhof
Warschauer Straße,U1,52.505788888,13.449733333,10243,Friedrichshain
Warschauer Straße,S7,52.505788888,13.449733333,10243,Friedrichshain
Wedding,U6,52.5425,13.3661,13347,Wedding
Weinmeisterstraße,,52.525833333,13.403888888,10178,Mitte
Westhafen,U9,52.536,13.344,10559,Moabit
Westhafen,U6,52.536,13.344,10559,Moabit
Wuhletal,U5,52.5126,13.5752,12619,Hellersdorf
Wutzkyallee,U7,52.423333333,13.475,12353,Gropiusstadt
Yorckstraße,U7,52.493055555,13.369722222,10965,Schöneberg
Yorckstraße,U1,52.493055555,13.369722222,10965,Schöneberg
Zoologischer Garten,U9,52.5075,13.33417,,Charlottenburg
Zoologischer Garten,U7,52.5075,13.33417,,Charlottenburg
Zoologischer Garten,U1,52.5075,13.33417,,Charlottenburg
Zoologischer Garten,U2,52.5075,13.33417,,Charlottenburg
Zoologischer Garten,U3,52.5075,13.33417,,Charlottenburg
